origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
02,195,32,001,Alaska,Petersburg Borough,3231.0,17.0,2822.0,95.0,396.0,93.0,237.0,73.0,75.0,39.0,84.0,33.0,13.0,13.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,4.0,8.0,Petersburg Borough,Churchill,02_195,32_001,outflow_13_17_Nevada.csv
06,073,32,001,California,San Diego County,3242145.0,1427.0,2732840.0,7503.0,473030.0,7081.0,349972.0,6364.0,47877.0,2479.0,75181.0,3382.0,36275.0,2260.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,137.0,146.0,San Diego,Churchill,06_073,32_001,outflow_13_17_Nevada.csv
06,085,32,001,California,Santa Clara County,1888980.0,995.0,1613420.0,5624.0,239430.0,5701.0,159741.0,5091.0,45287.0,2146.0,34402.0,1801.0,36130.0,2020.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,37.0,49.0,Santa Clara,Churchill,06_085,32_001,outflow_13_17_Nevada.csv
06,097,32,001,California,Sonoma County,496452.0,497.0,428638.0,2498.0,65829.0,2536.0,42027.0,2189.0,17299.0,1487.0,6503.0,912.0,1985.0,403.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,61.0,78.0,Sonoma,Churchill,06_097,32_001,outflow_13_17_Nevada.csv
06,107,32,001,California,Tulare County,451981.0,514.0,394694.0,3601.0,55821.0,3375.0,42936.0,3288.0,9369.0,1158.0,3516.0,860.0,1466.0,494.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,21.0,35.0,Tulare,Churchill,06_107,32_001,outflow_13_17_Nevada.csv
08,069,32,001,Colorado,Larimer County,327470.0,293.0,258042.0,2127.0,67407.0,2105.0,37199.0,1828.0,15420.0,975.0,14788.0,1204.0,2021.0,495.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,57.0,65.0,Larimer,Churchill,08_069,32_001,outflow_13_17_Nevada.csv
12,031,32,001,Florida,Duval County,898697.0,907.0,721477.0,5072.0,170453.0,5098.0,118517.0,4485.0,23577.0,1806.0,28359.0,2016.0,6767.0,1432.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,101.0,163.0,Duval,Churchill,12_031,32_001,outflow_13_17_Nevada.csv
12,113,32,001,Florida,Santa Rosa County,164985.0,282.0,133509.0,2126.0,30664.0,2047.0,13129.0,1454.0,7844.0,1350.0,9691.0,1212.0,812.0,359.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,19.0,30.0,Santa Rosa,Churchill,12_113,32_001,outflow_13_17_Nevada.csv
15,003,32,001,Hawaii,Honolulu County,977026.0,723.0,833972.0,3950.0,130597.0,3776.0,85989.0,3383.0,3231.0,554.0,41377.0,2039.0,12457.0,1153.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,15.0,19.0,Honolulu,Churchill,15_003,32_001,outflow_13_17_Nevada.csv
15,009,32,001,Hawaii,Maui County,162403.0,287.0,141500.0,1936.0,19227.0,1671.0,13088.0,1446.0,2021.0,447.0,4118.0,661.0,1676.0,550.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,16.0,26.0,Maui,Churchill,15_009,32_001,outflow_13_17_Nevada.csv
16,021,32,001,Idaho,Boundary County,11192.0,61.0,9911.0,415.0,1234.0,409.0,213.0,106.0,506.0,305.0,515.0,224.0,47.0,61.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,5.0,9.0,Boundary,Churchill,16_021,32_001,outflow_13_17_Nevada.csv
16,031,32,001,Idaho,Cassia County,23149.0,83.0,19725.0,512.0,3354.0,501.0,1314.0,341.0,1336.0,367.0,704.0,202.0,70.0,51.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,3.0,6.0,Cassia,Churchill,16_031,32_001,outflow_13_17_Nevada.csv
16,039,32,001,Idaho,Elmore County,25819.0,134.0,20313.0,672.0,4886.0,674.0,2616.0,515.0,712.0,235.0,1558.0,340.0,620.0,221.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,6.0,15.0,Elmore,Churchill,16_039,32_001,outflow_13_17_Nevada.csv
16,065,32,001,Idaho,Madison County,37242.0,194.0,24303.0,989.0,12273.0,971.0,5875.0,814.0,1667.0,407.0,4731.0,764.0,666.0,299.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,15.0,18.0,Madison,Churchill,16_065,32_001,outflow_13_17_Nevada.csv
16,067,32,001,Idaho,Minidoka County,20186.0,86.0,17354.0,575.0,2674.0,581.0,1054.0,283.0,1065.0,366.0,555.0,302.0,158.0,119.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,40.0,66.0,Minidoka,Churchill,16_067,32_001,outflow_13_17_Nevada.csv
16,071,32,001,Idaho,Oneida County,4228.0,32.0,3716.0,160.0,510.0,157.0,169.0,84.0,17.0,18.0,324.0,150.0,2.0,4.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,2.0,5.0,Oneida,Churchill,16_071,32_001,outflow_13_17_Nevada.csv
20,045,32,001,Kansas,Douglas County,116492.0,213.0,85238.0,1535.0,29529.0,1535.0,16756.0,1295.0,7094.0,956.0,5679.0,791.0,1725.0,463.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,62.0,92.0,Douglas,Churchill,20_045,32_001,outflow_13_17_Nevada.csv
20,103,32,001,Kansas,Leavenworth County,78356.0,178.0,63021.0,1077.0,14795.0,1073.0,6079.0,809.0,3125.0,514.0,5591.0,741.0,540.0,214.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,34.0,48.0,Leavenworth,Churchill,20_103,32_001,outflow_13_17_Nevada.csv
30,001,32,001,Montana,Beaverhead County,9282.0,38.0,7683.0,261.0,1597.0,260.0,585.0,163.0,623.0,192.0,389.0,118.0,2.0,4.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,5.0,8.0,Beaverhead,Churchill,30_001,32_001,outflow_13_17_Nevada.csv
30,041,32,001,Montana,Hill County,16229.0,70.0,14081.0,370.0,2112.0,370.0,1263.0,370.0,571.0,148.0,278.0,118.0,36.0,34.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,3.0,8.0,Hill,Churchill,30_041,32_001,outflow_13_17_Nevada.csv
32,003,32,001,Nevada,Clark County,2088437.0,878.0,1677092.0,6405.0,398142.0,6498.0,298775.0,5389.0,4613.0,658.0,94754.0,3256.0,13203.0,1187.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,355.0,155.0,Clark,Churchill,32_003,32_001,outflow_13_17_Nevada.csv
32,005,32,001,Nevada,Douglas County,47290.0,104.0,40230.0,698.0,6981.0,689.0,3264.0,618.0,1523.0,298.0,2194.0,453.0,79.0,77.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,85.0,65.0,Douglas,Churchill,32_005,32_001,outflow_13_17_Nevada.csv
32,007,32,001,Nevada,Elko County,51593.0,162.0,43124.0,1111.0,8374.0,1066.0,5541.0,898.0,1107.0,374.0,1726.0,604.0,95.0,102.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,99.0,82.0,Elko,Churchill,32_007,32_001,outflow_13_17_Nevada.csv
32,013,32,001,Nevada,Humboldt County,16635.0,137.0,13955.0,523.0,2575.0,489.0,1218.0,342.0,789.0,292.0,568.0,295.0,105.0,104.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,13.0,16.0,Humboldt,Churchill,32_013,32_001,outflow_13_17_Nevada.csv
32,019,32,001,Nevada,Lyon County,51887.0,119.0,43080.0,1200.0,8720.0,1193.0,3487.0,777.0,2577.0,612.0,2656.0,754.0,87.0,63.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,78.0,69.0,Lyon,Churchill,32_019,32_001,outflow_13_17_Nevada.csv
32,023,32,001,Nevada,Nye County,42934.0,148.0,36596.0,910.0,6294.0,857.0,2882.0,718.0,1216.0,337.0,2196.0,646.0,44.0,55.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,11.0,16.0,Nye,Churchill,32_023,32_001,outflow_13_17_Nevada.csv
32,027,32,001,Nevada,Pershing County,6614.0,24.0,5684.0,215.0,930.0,206.0,229.0,134.0,628.0,160.0,73.0,68.0,,,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,9.0,14.0,Pershing,Churchill,32_027,32_001,outflow_13_17_Nevada.csv
32,031,32,001,Nevada,Washoe County,439967.0,465.0,353279.0,2833.0,84309.0,2837.0,58713.0,2844.0,6689.0,713.0,18907.0,1222.0,2379.0,413.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,177.0,95.0,Washoe,Churchill,32_031,32_001,outflow_13_17_Nevada.csv
32,510,32,001,Nevada,Carson City,53820.0,110.0,42843.0,1015.0,10818.0,989.0,4842.0,796.0,3328.0,541.0,2648.0,535.0,159.0,97.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,167.0,109.0,Carson City,Churchill,32_510,32_001,outflow_13_17_Nevada.csv
36,061,32,001,New York,New York County,1635668.0,1312.0,1383115.0,5969.0,222432.0,5094.0,120674.0,3846.0,41207.0,2485.0,60551.0,2672.0,30121.0,2265.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,9.0,17.0,New York,Churchill,36_061,32_001,outflow_13_17_Nevada.csv
41,005,32,001,Oregon,Clackamas County,395743.0,407.0,333355.0,3234.0,60941.0,3208.0,31541.0,2570.0,19144.0,1575.0,10256.0,1161.0,1447.0,313.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,14.0,22.0,Clackamas,Churchill,41_005,32_001,outflow_13_17_Nevada.csv
41,019,32,001,Oregon,Douglas County,106641.0,190.0,88314.0,1413.0,18156.0,1406.0,11541.0,1108.0,2782.0,436.0,3833.0,644.0,171.0,88.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,35.0,55.0,Douglas,Churchill,41_019,32_001,outflow_13_17_Nevada.csv
42,021,32,001,Pennsylvania,Cambria County,134628.0,150.0,118356.0,1017.0,15983.0,1064.0,10136.0,857.0,3987.0,452.0,1860.0,375.0,289.0,85.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,3.0,4.0,Cambria,Churchill,42_021,32_001,outflow_13_17_Nevada.csv
45,015,32,001,South Carolina,Berkeley County,201889.0,359.0,168913.0,2180.0,32268.0,2204.0,12746.0,1487.0,9087.0,1044.0,10435.0,1123.0,708.0,226.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,10.0,19.0,Berkeley,Churchill,45_015,32_001,outflow_13_17_Nevada.csv
47,071,32,001,Tennessee,Hardin County,25560.0,89.0,23441.0,470.0,2111.0,461.0,1340.0,382.0,363.0,157.0,408.0,216.0,8.0,18.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,13.0,21.0,Hardin,Churchill,47_071,32_001,outflow_13_17_Nevada.csv
47,177,32,001,Tennessee,Warren County,39806.0,108.0,34691.0,729.0,5016.0,718.0,3579.0,652.0,948.0,299.0,489.0,271.0,99.0,60.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,81.0,129.0,Warren,Churchill,47_177,32_001,outflow_13_17_Nevada.csv
48,187,32,001,Texas,Guadalupe County,149385.0,237.0,130006.0,1616.0,18843.0,1549.0,6018.0,949.0,8816.0,1040.0,4009.0,816.0,536.0,203.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,10.0,16.0,Guadalupe,Churchill,48_187,32_001,outflow_13_17_Nevada.csv
48,465,32,001,Texas,Val Verde County,48080.0,261.0,40975.0,1028.0,6285.0,898.0,4057.0,896.0,1052.0,339.0,1176.0,380.0,820.0,298.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,9.0,15.0,Val Verde,Churchill,48_465,32_001,outflow_13_17_Nevada.csv
48,471,32,001,Texas,Walker County,70460.0,165.0,57340.0,1365.0,12890.0,1349.0,4170.0,948.0,7813.0,945.0,907.0,412.0,230.0,181.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,2.0,4.0,Walker,Churchill,48_471,32_001,outflow_13_17_Nevada.csv
49,003,32,001,Utah,Box Elder County,51221.0,167.0,44014.0,771.0,7009.0,776.0,3190.0,585.0,2270.0,381.0,1549.0,520.0,198.0,93.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,41.0,65.0,Box Elder,Churchill,49_003,32_001,outflow_13_17_Nevada.csv
49,035,32,001,Utah,Salt Lake County,1089660.0,806.0,914528.0,4675.0,166947.0,4420.0,113674.0,3747.0,20756.0,1568.0,32517.0,2171.0,8185.0,1021.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,2.0,5.0,Salt Lake,Churchill,49_035,32_001,outflow_13_17_Nevada.csv
49,041,32,001,Utah,Sevier County,20609.0,79.0,17345.0,507.0,3212.0,492.0,1610.0,355.0,1014.0,306.0,588.0,369.0,52.0,40.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,1.0,4.0,Sevier,Churchill,49_041,32_001,outflow_13_17_Nevada.csv
51,810,32,001,Virginia,Virginia Beach city,444154.0,516.0,364568.0,3214.0,75880.0,3143.0,39451.0,2172.0,16738.0,1324.0,19691.0,1396.0,3706.0,815.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,40.0,60.0,Virginia Beach city,Churchill,51_810,32_001,outflow_13_17_Nevada.csv
53,029,32,001,Washington,Island County,79415.0,169.0,64932.0,1155.0,14110.0,1173.0,5980.0,870.0,3772.0,727.0,4358.0,664.0,373.0,174.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,47.0,49.0,Island,Churchill,53_029,32_001,outflow_13_17_Nevada.csv
53,067,32,001,Washington,Thurston County,267124.0,342.0,214973.0,2233.0,49628.0,2274.0,26620.0,1795.0,12813.0,1302.0,10195.0,1160.0,2523.0,535.0,Nevada,Churchill County,23429.0,640.0,18782.0,749.0,4647.0,636.0,2670.0,548.0,994.0,241.0,983.0,360.0,,,23.0,25.0,Thurston,Churchill,53_067,32_001,outflow_13_17_Nevada.csv
01,003,32,003,Alabama,Baldwin County,201089.0,448.0,177677.0,1809.0,22879.0,1749.0,12379.0,1366.0,4286.0,903.0,6214.0,825.0,533.0,307.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,31.0,52.0,Baldwin,Clark,01_003,32_003,outflow_13_17_Nevada.csv
01,009,32,003,Alabama,Blount County,57088.0,130.0,53678.0,697.0,3297.0,643.0,1322.0,308.0,1500.0,566.0,475.0,227.0,113.0,96.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,33.0,55.0,Blount,Clark,01_009,32_003,outflow_13_17_Nevada.csv
01,043,32,003,Alabama,Cullman County,81028.0,165.0,74732.0,749.0,6229.0,714.0,3712.0,652.0,1767.0,381.0,750.0,246.0,67.0,59.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,38.0,50.0,Cullman,Clark,01_043,32_003,outflow_13_17_Nevada.csv
01,045,32,003,Alabama,Dale County,48783.0,154.0,39693.0,938.0,8812.0,899.0,3450.0,612.0,1810.0,521.0,3552.0,552.0,278.0,154.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,16.0,23.0,Dale,Clark,01_045,32_003,outflow_13_17_Nevada.csv
01,047,32,003,Alabama,Dallas County,40116.0,178.0,35910.0,710.0,4131.0,682.0,2654.0,657.0,975.0,410.0,502.0,224.0,75.0,58.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,113.0,164.0,Dallas,Clark,01_047,32_003,outflow_13_17_Nevada.csv
01,049,32,003,Alabama,DeKalb County,70217.0,219.0,60660.0,1199.0,9454.0,1167.0,5709.0,791.0,2376.0,868.0,1369.0,461.0,103.0,72.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,12.0,20.0,DeKalb,Clark,01_049,32_003,outflow_13_17_Nevada.csv
01,055,32,003,Alabama,Etowah County,102197.0,184.0,86489.0,1461.0,15406.0,1434.0,10488.0,1284.0,3186.0,578.0,1732.0,453.0,302.0,131.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,16.0,24.0,Etowah,Clark,01_055,32_003,outflow_13_17_Nevada.csv
01,071,32,003,Alabama,Jackson County,51726.0,149.0,48126.0,547.0,3586.0,535.0,2069.0,471.0,826.0,283.0,691.0,246.0,14.0,17.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,60.0,90.0,Jackson,Clark,01_071,32_003,outflow_13_17_Nevada.csv
01,073,32,003,Alabama,Jefferson County,650865.0,697.0,545849.0,4364.0,103066.0,4416.0,72705.0,3742.0,17784.0,1426.0,12577.0,1372.0,1950.0,350.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,45.0,52.0,Jefferson,Clark,01_073,32_003,outflow_13_17_Nevada.csv
01,075,32,003,Alabama,Lamar County,13892.0,91.0,12073.0,463.0,1792.0,431.0,1154.0,373.0,446.0,213.0,192.0,90.0,27.0,25.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,1.0,2.0,Lamar,Clark,01_075,32_003,outflow_13_17_Nevada.csv
01,089,32,003,Alabama,Madison County,349262.0,434.0,294105.0,2492.0,53411.0,2454.0,35191.0,2084.0,8080.0,867.0,10140.0,1021.0,1746.0,477.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,5.0,8.0,Madison,Clark,01_089,32_003,outflow_13_17_Nevada.csv
01,095,32,003,Alabama,Marshall County,93722.0,220.0,80658.0,1161.0,12930.0,1169.0,7636.0,1030.0,3953.0,773.0,1341.0,382.0,134.0,73.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,2.0,5.0,Marshall,Clark,01_095,32_003,outflow_13_17_Nevada.csv
01,097,32,003,Alabama,Mobile County,409170.0,485.0,356186.0,2483.0,52028.0,2555.0,40845.0,2274.0,4010.0,475.0,7173.0,944.0,956.0,256.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,8.0,13.0,Mobile,Clark,01_097,32_003,outflow_13_17_Nevada.csv
01,101,32,003,Alabama,Montgomery County,224599.0,351.0,176639.0,2464.0,46279.0,2307.0,30667.0,2256.0,8849.0,1022.0,6763.0,792.0,1681.0,544.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,118.0,90.0,Montgomery,Clark,01_101,32_003,outflow_13_17_Nevada.csv
01,127,32,003,Alabama,Walker County,64231.0,173.0,55510.0,1019.0,8656.0,1031.0,5800.0,917.0,2160.0,459.0,696.0,308.0,65.0,62.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,22.0,32.0,Walker,Clark,01_127,32_003,outflow_13_17_Nevada.csv
02,016,32,003,Alaska,Aleutians West Census Area,5738.0,11.0,4486.0,137.0,984.0,96.0,453.0,91.0,117.0,30.0,414.0,87.0,268.0,133.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,3.0,3.0,Aleutians West Census Area,Clark,02_016,32_003,outflow_13_17_Nevada.csv
02,020,32,003,Alaska,Anchorage Municipality,294072.0,458.0,235360.0,2908.0,55824.0,2846.0,37387.0,2563.0,5503.0,1026.0,12934.0,1064.0,2888.0,604.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,436.0,302.0,Anchorage Municipality,Clark,02_020,32_003,outflow_13_17_Nevada.csv
02,090,32,003,Alaska,Fairbanks North Star Borough,98368.0,291.0,75876.0,1366.0,21226.0,1364.0,11665.0,1037.0,1862.0,431.0,7699.0,776.0,1266.0,367.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,54.0,54.0,Fairbanks North Star Borough,Clark,02_090,32_003,outflow_13_17_Nevada.csv
02,110,32,003,Alaska,Juneau City and Borough,32178.0,89.0,26131.0,677.0,5821.0,701.0,3736.0,582.0,580.0,165.0,1505.0,428.0,226.0,105.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,5.0,7.0,Juneau City and Borough,Clark,02_110,32_003,outflow_13_17_Nevada.csv
02,122,32,003,Alaska,Kenai Peninsula Borough,57391.0,134.0,47233.0,801.0,9948.0,822.0,6209.0,812.0,1740.0,295.0,1999.0,429.0,210.0,120.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,34.0,43.0,Kenai Peninsula Borough,Clark,02_122,32_003,outflow_13_17_Nevada.csv
02,130,32,003,Alaska,Ketchikan Gateway Borough,13552.0,41.0,10894.0,290.0,2541.0,267.0,1533.0,201.0,336.0,103.0,672.0,128.0,117.0,51.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,10.0,12.0,Ketchikan Gateway Borough,Clark,02_130,32_003,outflow_13_17_Nevada.csv
02,170,32,003,Alaska,Matanuska-Susitna Borough,99815.0,164.0,83775.0,847.0,15682.0,855.0,8717.0,672.0,3992.0,442.0,2973.0,440.0,358.0,137.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,42.0,32.0,Matanuska-Susitna Borough,Clark,02_170,32_003,outflow_13_17_Nevada.csv
02,180,32,003,Alaska,Nome Census Area,9672.0,30.0,8225.0,168.0,1429.0,176.0,855.0,137.0,309.0,104.0,265.0,65.0,18.0,14.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,2.0,4.0,Nome Census Area,Clark,02_180,32_003,outflow_13_17_Nevada.csv
02,185,32,003,Alaska,North Slope Borough,9577.0,32.0,8142.0,221.0,1415.0,216.0,666.0,159.0,428.0,116.0,321.0,125.0,20.0,26.0,Nevada,Clark County,2053239.0,5124.0,1677092.0,6405.0,376147.0,6363.0,298775.0,5389.0,6509.0,677.0,70863.0,3098.0,,,10.0,17.0,North Slope Borough,Clark,02_185,32_003,outflow_13_17_Nevada.csv
